date,channelGrouping,userAgeBracket,userType,sessions,transactions
20190308,Search - Shopping - Paid,25-34,Returning Visitor,240,1
20190308,Search - Shopping - Paid,35-44,New Visitor,89,1
20190308,Search - Shopping - Paid,35-44,Returning Visitor,471,4
20190308,Search - Shopping - Paid,45-54,New Visitor,82,0
20190308,Search - Shopping - Paid,45-54,Returning Visitor,415,4
20190308,Search - Shopping - Paid,55-64,New Visitor,47,0
20190308,Search - Shopping - Paid,55-64,Returning Visitor,382,1
20190308,Search - Shopping - Paid,65+,New Visitor,37,0
20190308,Search - Shopping - Paid,65+,Returning Visitor,221,0
20190308,Social - Brand - Paid,18-24,New Visitor,82,0
20190308,Social - Brand - Paid,18-24,Returning Visitor,10,0
20190308,Social - Brand - Paid,25-34,New Visitor,510,0
20190308,Social - Brand - Paid,25-34,Returning Visitor,89,0
20190308,Social - Brand - Paid,35-44,New Visitor,621,0
20190308,Social - Brand - Paid,35-44,Returning Visitor,130,0
20190308,Social - Brand - Paid,45-54,New Visitor,435,0
20190308,Social - Brand - Paid,45-54,Returning Visitor,92,0
20190308,Social - Brand - Paid,55-64,New Visitor,202,0
20190308,Social - Brand - Paid,55-64,Returning Visitor,59,0
20190308,Social - Brand - Paid,65+,New Visitor,56,0
20190308,Social - DPA - Paid,18-24,Returning Visitor,30,0
20190308,Social - DPA - Paid,25-34,New Visitor,38,0
20190308,Social - DPA - Paid,25-34,Returning Visitor,273,3
20190308,Social - DPA - Paid,35-44,New Visitor,58,0
20190308,Social - DPA - Paid,35-44,Returning Visitor,538,3
20190308,Social - DPA - Paid,45-54,New Visitor,44,0
20190308,Social - DPA - Paid,45-54,Returning Visitor,369,2
20190308,Social - DPA - Paid,55-64,New Visitor,36,0
20190308,Social - DPA - Paid,55-64,Returning Visitor,268,2
20190308,Social - DPA - Paid,65+,New Visitor,12,0
20190308,Social - DPA - Paid,65+,Returning Visitor,78,0
20190308,Social - Organic - Non Paid,18-24,New Visitor,10,1
20190308,Social - Organic - Non Paid,18-24,Returning Visitor,18,0
20190308,Social - Organic - Non Paid,25-34,New Visitor,67,0
20190308,Social - Organic - Non Paid,25-34,Returning Visitor,101,0
20190308,Social - Organic - Non Paid,35-44,New Visitor,103,0
20190308,Social - Organic - Non Paid,35-44,Returning Visitor,227,2
20190308,Social - Organic - Non Paid,45-54,New Visitor,79,0
20190308,Social - Organic - Non Paid,45-54,Returning Visitor,127,0
20190308,Social - Organic - Non Paid,55-64,New Visitor,61,0
20190308,Social - Organic - Non Paid,55-64,Returning Visitor,102,1
20190308,Social - Organic - Non Paid,65+,New Visitor,28,0
20190308,Social - Organic - Non Paid,65+,Returning Visitor,22,0
20190308,Social - Performance - Paid,18-24,New Visitor,24,0
20190308,Social - Performance - Paid,18-24,Returning Visitor,44,0
20190308,Social - Performance - Paid,25-34,New Visitor,349,0
20190308,Social - Performance - Paid,25-34,Returning Visitor,465,0
20190308,Social - Performance - Paid,35-44,New Visitor,713,0
20190308,Social - Performance - Paid,35-44,Returning Visitor,1005,0
20190308,Social - Performance - Paid,45-54,New Visitor,491,1
20190308,Social - Performance - Paid,45-54,Returning Visitor,670,3
20190308,Social - Performance - Paid,55-64,New Visitor,297,1
20190308,Social - Performance - Paid,55-64,Returning Visitor,339,1
20190308,Social - Performance - Paid,65+,New Visitor,96,0
20190308,Social - Performance - Paid,65+,Returning Visitor,102,0
20190309,(Other),18-24,New Visitor,11,0
20190309,(Other),25-34,New Visitor,17,0
20190309,(Other),25-34,Returning Visitor,41,0
20190309,(Other),35-44,New Visitor,9,1
20190309,(Other),35-44,Returning Visitor,34,2
20190309,(Other),45-54,Returning Visitor,27,3
20190309,(Other),55-64,New Visitor,9,0
20190309,(Other),55-64,Returning Visitor,13,0
20190309,Direct - Non Paid,18-24,New Visitor,78,1
20190309,Direct - Non Paid,18-24,Returning Visitor,101,2
20190309,Direct - Non Paid,25-34,New Visitor,244,0
20190309,Direct - Non Paid,25-34,Returning Visitor,576,5
20190309,Direct - Non Paid,35-44,New Visitor,279,0
20190309,Direct - Non Paid,35-44,Returning Visitor,706,14
